Mes,ID_SKU,Descripcion_SKU,Grupo_Producto,Unidad_Medida,Prioridad_Cliente,Demanda_Real,Pronostico_30_dias,Demanda_Diaria_Proyectada,Desviacion_Demanda_Mensual,Desviacion_Demanda_Diaria,LeadTime_Proveedor_dias,Transito_dias,LeadTime_Total_dias,MOQ,Inventario_Actual,Recepciones_Planificadas,Fecha_Recepcion_Planificada,Fecha_Recepcion_Ajustada,Dias_Hasta_Recepcion,Vida_Util_dias,Demanda_Durante_LeadTime,Dias_Inventario_Proyectados,Demanda_Hasta_Recepcion,Inventario_Despues_Espera_Recepcion,Riesgo_Quiebre_Antes_Recepcion,Inventario_Despues_Recepcion,Cobertura_MOQ_dias,Riesgo_Caducidad_MOQ,Riesgo_Caducidad_Inventario,Nivel_Servicio,Z,Stock_Seguridad,Punto_Reorden,Cantidad_Recomendada,Accion_Final
2025-07-01,SKU0001,Surfactants Grade A,Surfactants,kg,High,671,661.8006856571005,22.060022855236685,163.255253446184,29.806194981232665,29,2,31,5241,682,725,2025-07-08,2025-08-08,8,730,683.8607085123373,30.915652466701978,176.48018284189348,505.51981715810655,No,1230.5198171581064,237.57908295892238,Sin riesgo,No,0.98,2.054,340.8692494073763,1024.7299579197136,0,OK
2025-07-01,SKU0002,Surfactants Grade A,Surfactants,kg,Low,167,156.55555472821536,5.218518490940512,39.99222146590232,7.30154727387234,51,7,58,516,232,143,2025-07-08,2025-08-08,8,365,302.6740724745497,44.45706198085879,41.748147927524094,190.2518520724759,No,333.2518520724759,98.87863785397903,Sin riesgo,No,0.98,2.054,114.21662879651755,416.89070127106726,516,Reabastecer
2025-07-01,SKU0003,Surfactants Grade C,Surfactants,kg,Medium,357,387.4444336774508,12.914814455915026,73.27156489540961,13.377496305639834,46,10,56,8372,265,361,2025-07-08,2025-08-08,8,540,723.2296095312415,20.519071404748612,103.31851564732021,161.68148435267977,No,522.6814843526797,648.2477954737939,Negociar MOQ - Alto riesgo de caducar,No,0.98,2.054,205.62186432395572,928.8514738551972,8372,Reabastecer - Negociar MOQ
2025-07-01,SKU0004,Solvents Grade C,Solvents,litre,Medium,278,269.5555703843945,8.985185679479818,57.971353078721386,10.584072590104087,28,7,35,5361,551,159,2025-07-08,2025-08-08,8,1095,314.4814987817936,61.32316233134308,71.88148543583854,479.11851456416144,No,638.1185145641614,596.6487717937027,Sin riesgo,No,0.98,2.054,128.6137115114985,443.0952102932921,0,OK
2025-07-01,SKU0005,Intermediates Grade B,Intermediates,litre,Medium,530,403.33327019020726,13.444442339673575,124.04483956304763,22.647385590263486,24,8,32,2608,688,62,2025-07-08,2025-08-08,8,365,430.2221548695544,51.173561730393374,107.5555387173886,580.4444612826114,No,642.4444612826114,193.98350144311905,Sin riesgo,No,0.98,2.054,263.1440186408224,693.3661735103768,2608,Reabastecer
2025-07-01,SKU0006,Intermediates Grade B,Intermediates,kg,Medium,192,240.44991722597103,8.014997240865702,67.01243665668835,12.234741063418095,20,8,28,9217,105,174,2025-07-08,2025-08-08,8,730,224.41992274423964,13.10044119100145,64.11997792692561,40.880022073074386,No,214.88002207307437,1149.9692043567652,Negociar MOQ - Alto riesgo de caducar,No,0.98,2.054,132.97629771487684,357.3962204591165,9217,Reabastecer - Negociar MOQ
2025-07-01,SKU0007,Surfactants Grade A,Surfactants,kg,Medium,329,296.777776705178,9.892592556839267,58.252706184157454,10.635440404261242,52,10,62,3055,125,130,2025-07-08,2025-08-08,8,730,613.3407385240346,12.63571700560749,79.14074045471413,45.859259545285866,No,175.85925954528585,308.81692361704705,Sin riesgo,No,0.98,2.054,172.0092342137565,785.3499727377911,3055,Reabastecer
2025-07-01,SKU0008,Additives Grade C,Additives,kg,Medium,415,394.1110457416092,13.13703485805364,83.68784592493438,15.279240334034451,19,11,30,1578,570,321,2025-07-08,2025-08-08,8,1095,394.1110457416092,43.38878644678044,105.09627886442912,464.9037211355709,No,785.9037211355709,120.1184298474027,Sin riesgo,No,0.98,2.054,171.89483552981523,566.0058812714244,0,OK
2025-07-01,SKU0009,Packaging Grade C,Packaging,litre,Medium,379,367.8888629192401,12.262962097308003,88.22628733987268,16.10784258032691,50,8,58,5443,0,264,2025-07-08,2025-08-08,8,730,711.2518016438642,0.0,98.10369677846403,-98.10369677846403,Alto,165.89630322153596,443.8568721658906,Sin riesgo,No,0.98,2.054,251.97172704659047,963.2235286904546,5443,Urgente - Riesgo de quiebre
2025-07-01,SKU0010,Surfactants Grade A,Surfactants,kg,Medium,182,231.66667046125008,7.722222348708336,41.18589294622343,7.519480872546493,32,9,41,2662,176,45,2025-07-08,2025-08-08,8,540,316.6111162970418,22.791366533163703,61.77777878966669,114.22222121033332,No,159.22222121033332,344.71941881410106,Sin riesgo,No,0.98,2.054,98.89634164813772,415.5074579451795,2662,Reabastecer
2025-07-01,SKU0011,Surfactants Grade A,Surfactants,kg,Medium,251,253.33334147017996,8.444444715672665,57.72886818760803,10.539801108531764,54,4,58,7149,216,29,2025-07-08,2025-08-08,8,1095,489.77779350901454,25.578946546847508,67.55555772538132,148.44444227461867,No,177.44444227461867,846.5920780713557,Sin riesgo,No,0.98,2.054,164.8719792734912,654.6497727825058,7149,Reabastecer
2025-07-01,SKU0012,Intermediates Grade C,Intermediates,kg,Medium,482,397.88886720893913,13.262962240297972,80.29667213250843,14.660099539857107,58,6,64,8276,31,351,2025-07-08,2025-08-08,8,730,848.8295833790702,2.3373360670371284,106.10369792238377,-75.10369792238377,Alto,275.8963020776162,623.9933319612669,Sin riesgo,No,0.98,2.054,240.89475563893197,1089.7243390180022,8276,Urgente - Riesgo de quiebre
2025-07-01,SKU0013,Solvents Grade B,Solvents,kg,Medium,283,321.22223233090244,10.707407744363415,48.539102221244725,8.861987069208283,24,2,26,3993,211,309,2025-07-08,2025-08-08,8,540,278.3926013534488,19.70598346841461,85.65926195490732,125.34073804509268,No,434.3407380450927,372.9193933145949,Sin riesgo,No,0.98,2.054,92.81501201993532,371.2076133733841,0,OK
2025-07-01,SKU0014,Intermediates Grade A,Intermediates,litre,Medium,357,292.11112018240283,9.737037339413428,66.03399797747286,12.056103418170801,57,7,64,3893,624,363,2025-07-08,2025-08-08,8,540,623.1703897224594,64.08520150931152,77.89629871530742,546.1037012846925,No,909.1037012846925,399.8136049290861,Sin riesgo,No,0.98,2.054,198.10589136738258,821.276281089842,0,OK
2025-07-01,SKU0015,Solvents Grade A,Solvents,litre,Medium,465,459.99999129333895,15.333333043111299,87.98617315616511,16.064003928729047,39,6,45,7679,497,234,2025-07-08,2025-08-08,8,730,689.9999869400085,32.41304409175954,122.66666434489039,374.33333565510964,No,608.3333356551096,500.80435730507344,Sin riesgo,No,0.98,2.054,221.34030182639583,911.3402887664043,7679,Reabastecer
2025-07-01,SKU0016,Solvents Grade B,Solvents,litre,Low,209,176.99999564692797,5.899999854897599,32.437289926530205,5.922211799031896,27,10,37,8579,448,125,2025-07-08,2025-08-08,8,730,218.29999463121118,75.93220525727887,47.19999883918079,400.8000011608192,No,525.8000011608192,1454.0678323709717,Negociar MOQ - Alto riesgo de caducar,No,0.98,2.054,73.99208008877507,292.29207471998626,0,OK
2025-07-01,SKU0017,Additives Grade C,Additives,kg,High,1367,1584.8883213912063,52.82961071304021,310.1674099937358,56.628562352174136,29,14,43,4909,1432,1220,2025-07-08,2025-08-08,8,540,2271.6732606607293,27.10601082749474,422.6368857043217,1009.3631142956783,No,2229.3631142956783,92.92137370961709,Sin riesgo,No,0.98,2.054,762.7289017705442,3034.4021624312736,4909,Reabastecer
2025-07-01,SKU0018,Packaging Grade A,Packaging,kg,Low,134,133.1111149382852,4.437037164609507,26.86509507396788,4.904872860511042,37,1,38,5326,137,148,2025-07-08,2025-08-08,8,1095,168.60741225516125,30.87645988019509,35.49629731687605,101.50370268312395,No,249.50370268312395,1200.3505497950296,Negociar MOQ - Alto riesgo de caducar,No,0.98,2.054,62.104059903215834,230.7114721583771,0,OK
2025-07-01,SKU0019,Packaging Grade C,Packaging,kg,Medium,572,563.2222422493585,18.774074741645283,152.30466542792152,27.806900289383275,21,4,25,5942,1359,574,2025-07-08,2025-08-08,8,365,469.3518685411321,72.38705601748887,150.19259793316226,1208.8074020668378,No,1782.8074020668378,316.500284662192,Sin riesgo,No,0.98,2.054,285.5768659719662,754.9287345130983,0,OK
2025-07-01,SKU0020,Solvents Grade B,Solvents,litre,Medium,296,263.16511895972667,8.772170631990889,90.14562292942088,16.458263712932915,52,1,53,3149,602,89,2025-07-08,2025-08-08,8,1095,464.9250434955171,68.6261160726388,70.17736505592711,531.8226349440729,No,620.8226349440729,358.9761453699993,Sin riesgo,No,0.98,2.054,246.10610712833235,711.0311506238495,3149,Reabastecer
2025-07-01,SKU0021,Additives Grade C,Additives,kg,Medium,649,543.22224473942,18.107408157980668,87.77755977469413,16.025916510452685,47,9,56,3154,750,269,2025-07-08,2025-08-08,8,1095,1014.0148568469174,41.41951147599468,144.85926526384534,605.1407347361546,No,874.1407347361546,174.18285226038296,Sin riesgo,No,0.98,2.054,246.330012364876,1260.3448692117934,3154,Reabastecer
2025-07-01,SKU0022,Surfactants Grade C,Surfactants,kg,Medium,270,363.6666230129355,12.122220767097849,88.76742395471189,16.206640157206714,57,5,62,9046,83,115,2025-07-08,2025-08-08,8,365,751.5776875600666,6.8469302444382745,96.97776613678279,-13.97776613678279,Alto,101.02223386321721,746.2329035082968,Negociar MOQ - Alto riesgo de caducar,No,0.98,2.054,262.1134298775359,1013.6911174376025,9046,Urgente - Riesgo de quiebre
2025-07-01,SKU0023,Intermediates Grade A,Intermediates,kg,High,769,774.5108078339197,25.817026927797322,124.80295580545271,22.785798045988926,24,9,33,8204,1274,563,2025-07-08,2025-08-08,8,1095,851.9618886173116,49.347277808672764,206.53621542237858,1067.4637845776215,No,1630.4637845776215,317.77477797672793,Sin riesgo,No,0.98,2.054,268.8571886467279,1120.8190772640396,0,OK
2025-07-01,SKU0024,Intermediates Grade C,Intermediates,litre,Low,82,92.33333396070442,3.0777777986901476,17.09483352751156,3.121075313271231,46,12,58,8160,14,37,2025-07-08,2025-08-08,8,540,178.51111232402855,4.548736431186869,24.62222238952118,-10.62222238952118,Alto,26.37777761047882,2651.263519891775,Negociar MOQ - Alto riesgo de caducar,No,0.98,2.054,48.822350541711714,227.33346286574027,8160,Urgente - Riesgo de quiebre
2025-07-01,SKU0025,Intermediates Grade A,Intermediates,litre,High,838,782.1111068008662,26.07037022669554,105.69053358219409,19.296363119241665,23,3,26,7435,649,328,2025-07-08,2025-08-08,8,540,677.8296258940841,24.89416123962202,208.56296181356433,440.43703818643564,No,768.4370381864356,285.1896591935126,Sin riesgo,No,0.98,2.054,202.09826090543555,879.9278867995197,7435,Reabastecer
2025-07-01,SKU0026,Packaging Grade B,Packaging,litre,Medium,108,195.88888923393424,6.529629641131141,39.49978902897245,7.211641822621098,52,5,57,6988,80,87,2025-07-08,2025-08-08,8,365,372.18888954447505,12.251843427086232,52.23703712904913,27.762962870950872,No,114.76296287095087,1070.1985233559824,Negociar MOQ - Alto riesgo de caducar,No,0.98,2.054,111.83352542995917,484.02241497443424,6988,Reabastecer - Negociar MOQ
2025-07-01,SKU0027,Surfactants Grade A,Surfactants,kg,Low,71,61.00000041120182,2.0333333470400605,13.8728351664523,2.5328215857389536,33,11,44,7771,88,51,2025-07-08,2025-08-08,8,730,89.46666726976267,43.27868823284795,16.266666776320484,71.73333322367952,No,122.73333322367952,3821.803252925698,Negociar MOQ - Alto riesgo de caducar,No,0.98,2.054,34.50892068020373,123.9755879499664,7771,Reabastecer - Negociar MOQ
2025-07-01,SKU0028,Solvents Grade A,Solvents,litre,Low,157,134.44443173222916,4.4814810577409725,26.260447656335014,4.794479850519453,19,4,23,913,150,169,2025-07-08,2025-08-08,8,365,103.07406432804237,33.47107754497842,35.85184846192778,114.14815153807223,No,283.1481515380722,203.7272919904353,Sin riesgo,No,0.98,2.054,47.228685160688165,150.30274948873054,0,OK
2025-07-01,SKU0029,Packaging Grade C,Packaging,litre,Low,157,123.22221853865352,4.107407284621784,21.29162589689508,3.8873012632301998,56,11,67,6069,317,111,2025-07-08,2025-08-08,8,540,275.19628806965954,77.17763981839697,32.85925827697427,284.1407417230257,No,395.1407417230257,1477.5744355137263,Negociar MOQ - Alto riesgo de caducar,No,0.98,2.054,65.35608667735374,340.5523747470133,0,OK
